customer_id,project_id,cluster,personal_blurb
c1,P001,2,"Customer c1 looking at P001: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Poor match*."
c1,P002,1,"Customer c1 looking at P002: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Poor match*."
c1,P003,1,"Customer c1 looking at P003: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Poor match*."
c1,P004,1,"Customer c1 looking at P004: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Poor match*."
c1,P005,2,"Customer c1 looking at P005: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Poor match*."
c1,P006,2,"Customer c1 looking at P006: Affordability is *Medium* (needs ₹0.19 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Poor match*."
c1,P007,2,"Customer c1 looking at P007: Affordability is *Low* (needs ₹0.02 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Poor match*."
c1,P008,0,"Customer c1 looking at P008: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Good match*."
c1,P009,0,"Customer c1 looking at P009: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Good match*."
c1,P010,1,"Customer c1 looking at P010: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Poor match*."
c1,P011,1,"Customer c1 looking at P011: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Poor match*."
c1,P012,1,"Customer c1 looking at P012: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Poor match*."
c1,P013,1,"Customer c1 looking at P013: Affordability is *Medium* (needs ₹0.35 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Poor match*."
c1,P014,2,"Customer c1 looking at P014: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Poor match*."
c1,P015,2,"Customer c1 looking at P015: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Medium* (visits: N/A), Unit‐size fit is *Poor match*."
c2,P001,3,"Customer c2 looking at P001: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Low* (visits: N/A), Unit‐size fit is *Good match*."
c2,P002,4,"Customer c2 looking at P002: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Low* (visits: N/A), Unit‐size fit is *Good match*."
c2,P003,4,"Customer c2 looking at P003: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Low* (visits: N/A), Unit‐size fit is *Good match*."
c2,P004,4,"Customer c2 looking at P004: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Low* (visits: N/A), Unit‐size fit is *Good match*."
c2,P005,3,"Customer c2 looking at P005: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Low* (visits: N/A), Unit‐size fit is *Good match*."
c2,P006,2,"Customer c2 looking at P006: Affordability is *Medium* (needs ₹0.26 Cr down), Commute distance is *Low*, Engagement is *Low* (visits: N/A), Unit‐size fit is *Poor match*."
c2,P007,2,"Customer c2 looking at P007: Affordability is *Medium* (needs ₹0.09 Cr down), Commute distance is *Low*, Engagement is *Low* (visits: N/A), Unit‐size fit is *Poor match*."
c2,P008,1,"Customer c2 looking at P008: Affordability is *Medium* (needs ₹0.07 Cr down), Commute distance is *Low*, Engagement is *Low* (visits: N/A), Unit‐size fit is *Poor match*."
c2,P009,1,"Customer c2 looking at P009: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Low* (visits: N/A), Unit‐size fit is *Poor match*."
c2,P010,4,"Customer c2 looking at P010: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Low* (visits: N/A), Unit‐size fit is *Good match*."
c2,P011,4,"Customer c2 looking at P011: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Low* (visits: N/A), Unit‐size fit is *Good match*."
c2,P012,4,"Customer c2 looking at P012: Affordability is *Low* (needs ₹0.00 Cr down), Commute distance is *Low*, Engagement is *Low* (visits: N/A), Unit‐size fit is *Good match*."
